row,col,code,name
3,5,MELB,Melbourne
4,7,STON,Stonnington
2,7,BANY,Banyule
2,3,BRIM,Brimbank
3,7,BORO,Boroondara
7,10,CASE,Casey
2,5,MORE,Moreland
1,3,HUME,Hume
9,8,MORN,Mornington Peninsula
4,2,WYND,Wyndham
5,7,GLEN,Glen Eira
5,8,MONA,Monash
4,6,PORT,Port Phillip
2,1,MELT,Melton
2,6,DARE,Darebin
7,9,FRAN,Frankston
2,4,MOON,Moonee Valley
1,6,WHIT,Whittlesea
5,6,BAYS,Bayside
3,6,YARR,Yarra
2,8,MANN,Manningham
6,8,KING,Kingston
1,8,NILL,Nillumbik
3,8,WHIT,Whitehorse
1,10,YARR,Yarra Ranges
4,4,HOBS,Hobsons Bay
6,9,GREA,Greater Dandenong
7,11,CARD,Cardinia
3,4,MARI,Maribyrnong
4,9,KNOX,Knox
3,9,MARO,Maroondah
